"{""Objective"":""Generate an ultra-realistic street-fashion portrait of a young man walking confidently outdoors based on the provided reference image."",""Scene_Description"":{""Environment"":{""Setting"":""Wet pavement near a modern café"",""Background"":{""Style"":""Blurred urban environment"",""Elements"":[""Palm tree"",""Orange and black road barriers"",""Soft urban structures""]},""Lighting"":{""Type"":""Warm natural sunlight"",""Effects"":[""Crisp shadows"",""Golden highlights on clothing and hair"",""Instagram-style warm color mood""]},""Atmosphere"":""Casual, stylish, modern street fashion""},""Subject"":{""Identity"":""Maintain facial features consistent with the provided reference image"",""Appearance"":{""Hair"":""Stylish, slightly messy natural hairstyle"",""Expression"":""Calm, confident""},""Pose"":{""Action"":""Walking confidently on wet pavement"",""Hands"":""Partially in pockets"",""Body_Language"":""Relaxed yet assured, modern fashion posture""}}},""Wardrobe"":{""Outfit"":{""Jacket"":""Beige jacket"",""Shirt"":""White T-shirt"",""Pants"":""Baggy olive jeans"",""Footwear"":""White sneakers""}},""Visual_Style"":{""Aesthetic"":""Instagram-style street fashion"",""Quality"":""Ultra-realistic with sharp details"",""Color_Profile"":""Warm sunlight tones with soft urban contrast"",""Detail_Characteristics"":[""Realistic fabric texture"",""Wet pavement reflections"",""Cinematic blur and depth"",""High clarity in subject’s face and clothing""]},""Output_Requirements"":{""Format"":""Image"",""Quality"":""High-detail, photorealistic, street-fashion editorial""}}",Image Generation / Fashion Photography
"{""prompt"":""A young woman with long, softly curled dark hair takes a cinematic mirror selfie in a bathroom lit by warm golden-hour light streaming through a small window. She wears a fitted charcoal tank top, and her silhouette glows with warm rim-light. Steam from a recent shower adds a hazy, atmospheric layer. The bathroom features tan stone tiles, a backlit mirror, and soft dust particles glowing in the light. The overall vibe is dramatic, moody, and film-like with rich contrast."",""negative_prompt"":""blurry, grainy, flat lighting, low detail, bad reflections, distorted hands, cartoon, watercolor, overexposed highlights, washed-out colors"",""steps"":50,""sampler"":""DPM++ 2M Karras"",""cfg_scale"":8,""seed"":-1,""width"":512,""height"":768,""model"":""realisticVisionV60B1""}",Image Generation / Atmospheric Mirror Selfie
"{""Objective"":""Transform the user's descriptive scene prompt into a structured JSON format for clarity, reusability, or integration into other systems (e.g., AI image generation, project planning, scene documentation)."",""Persona_Details"":{""Character"":""Man wearing glasses"",""Clothing"":{""Outerwear"":""Orange winter clothing"",""Footwear"":""Dark red and black ice boots"",""Accessories"":""Glasses""},""Behavior"":""Ice fishing with a research-focused approach"",""Actions"":[""Sits outside a light brown tent"",""Tent opens toward the ice pond"",""Checks the black front cover"",""Surveys the ice pond"",""Observes small items near him""]},""Environment_Details"":{""Setting"":""Frozen ice pond"",""Tent_Color"":""Light brown"",""Sky"":""White, cloudy, heavy atmosphere"",""Weather"":""Very cold"",""Lighting"":""Natural, diffused due to cloud cover"",""Scene_Composition"":{""Subject_Position"":""Slightly right of center"",""Purpose"":""Emphasize ice landscape"",""Framing"":""Ice and white sky close off the blue center and disperse outward""}},""Objects_and_Props"":{""Ice_Fishing_Equipment"":[""Black front cover"",""Fishing tools (implied)""],""Observed_Items"":[""Small objects placed near the tent entrance"",""Two stainless steel water bottles""]},""Technical_Attributes"":{""Style"":""High-resolution realism"",""Resolution"":""4K"",""Detail_Emphasis"":[""Folds of tent fabric"",""Texture of the ice"",""Fine environmental details""]},""Task_Instructions"":{""Intended_Usage"":""Use this structured JSON to recreate, refine, or expand upon the scene described in the prompt."",""Editable_Fields"":[""Persona_Details"",""Environment_Details"",""Objects_and_Props"",""Technical_Attributes""],""Guidance"":""Users can modify values to adjust imagery, realism, character placement, weather, or style.""},""Response_Format"":{""Type"":""Structured Scene JSON"",""Consistency_Requirements"":[""Maintain clarity and modularity"",""Allow easy editing for new scenarios"",""Preserve user intent and descriptive accuracy""]}}",Text Generation / Scene Structuring JSON
"{""description"":{""scene"":""A glamorous woman posing dramatically in a hotel corridor, framed inside an elevator."",""appearance"":{""hair"":""Light brown hair styled in soft waves."",""makeup"":""Bold red lipstick with a darker eye makeup look."",""accessories"":""Layered pearl necklaces cascading over her décolletage."",""outfit"":{""dress"":""Floor-length white or ivory satin slip dress with a glossy finish, V-neckline, thin straps, form-fitting drape, possible lace details or slit."",""coat"":""Ankle-length luxurious white coat with long delicate feathery texture, worn open."",""bag"":""Small structured black handbag with gold chain strap, quilted style.""}},""pose"":{""body"":""Slightly angled posture, one foot stepping out of the elevator."",""arms"":""Right arm extended upward, resting on the door frame."",""head"":""Head tilted down and to the right, eyes looking downward with a seductive expression.""},""composition"":{""framing"":""She fills the majority of the frame inside the elevator."",""elevator"":""Dark muted gold or bronze reflective panel walls with vertical lines and dark trim."",""lighting"":""Warm overhead elevator light illuminating her hair, dress sheen, and feather texture, creating highlights on metallic surfaces."",""mood"":""High fashion, vintage glamour, luxurious and dramatic atmosphere.""},""allowed_changes"":{""makeup"":""You may change makeup."",""attire"":""You may change outfit."",""pose"":""You may change the pose.""}}}",Image Generation / Glamorous Fashion Portrait
"{""scene_description"":""A surreal, monumental wide shot of a celestial railway station suspended in the clouds, featuring a transparent glass train on golden rails."",""subject"":{""type"":""Futuristic Steam Train"",""features"":{""material"":""solid carved crystal and glass chassis"",""details"":""intricate gold filigree gears, visible internal mechanics"",""wagons"":""translucent compartments filled with soft warm light""},""attire"":""N/A"",""position"":""gliding smoothly along a curving white marble viaduct""},""action"":{""primary"":""traveling through the sky"",""secondary"":""emitting steam that turns into actual clouds"",""effect"":""refracting sunlight through the glass train body""},""environment"":{""setting"":""High-altitude cloudscape"",""foreground_elements"":[""Monumental Corinthian columns supporting the tracks"",""Polished white marble platform with tiny passengers for scale"",""Golden railings""],""background_elements"":[""The track spiraling upwards towards a pale visible moon"",""Miniature cities far below in the valley gap.""]},""lighting"":{""style"":""Magical Golden Hour"",""key_light"":{""type"":""Low sun"",""color"":""Warm amber/gold"",""illuminates"":[""The gold tracks"",""The edges of the glass train"",""The marble texture""]},""shadows"":""Long, dramatic shadows cast by the columns onto the clouds""},""style"":{""medium"":""3D Conceptual Art"",""aesthetic"":""Neo-Classical Sci-Fi, Surrealism"",""quality"":""8k resolution, hyper-detailed"",""details"":""architectural precision, atmospheric depth""},""scene_composition"":{""subject_action"":""Train moving away from camera around a bend"",""camera_behavior"":""Drone shot, high angle, vertigo-inducing"",""depth_layering"":""Sharp foreground railing -> Glass Train -> Hazy distant world""},""camera_and_lens"":{""focal_length_feel"":""14mm Ultra-Wide"",""aperture_effect"":""Deep depth of field (f/11)"",""camera_angle"":""High-angle looking down into the abyss"",""lens_type"":""Rectilinear"",""bokeh_style"":""None""}}",Image Generation / Surreal Sci-Fi Environment
"{""image_prompt_structure"":{""metadata"":{""type"":""Vintage Film Photograph"",""dimensions"":""1200x1200px""},""style_and_atmosphere"":{""aesthetic"":""Dark, grainy vintage film look (e.g., Kodak Portra 800)"",""mood"":""Dreamy, melancholic, blurry, atmospheric"",""effects"":""Heavy motion blur due to movement and wind, soft focus""},""subject"":{""identity_instruction"":""Crucial: Do not alter facial features from reference identity. Keep head positioning as is."",""appearance"":{""hair"":""Long, wavy brown hair, heavily blown about by the wind""},""attire"":""Off-shoulder white knitted top""},""action_and_pose"":{""description"":""Subject is leaning their upper back backwards out of an open car window while the car is moving.""},""setting"":{""location"":""Passenger seat window of a vintage car"",""time"":""Night"",""background"":""Completely blurred streaks of dark city or road lights, illegible shapes due to motion and darkness"",""environmental_conditions"":""Extremely windy""},""lighting"":{""description"":""Low light, likely illuminated by a warm, soft vintage camera flash mixed with ambient streaking streetlights.""}}}",Image Generation / Vintage Film Photography
"{""character"":{""identity"":""rugged male wanderer"",""age_range"":""mid to late 30s"",""face"":{""keep_original"":true,""weathering"":""sun-worn skin, dirt streaks, natural roughness"",""expression"":""alert, scanning surroundings, fatigue visible""},""hair"":{""color"":""salt + pepper"",""style"":""untamed, beard untrimmed""},""outfit"":{""upper"":{""layers"":""distressed plaid flannel under worn denim jacket"",""tones"":""faded reds + blues"",""texture"":""torn elbows, sun-faded fabric, dust + grime""},""lower"":{""type"":""heavy jeans"",""condition"":""dark grey, dirt-caked knees, ripped edges""}}},""gear"":{""backpack"":{""style"":""large survival pack"",""color"":""olive green"",""state"":""threadbare, patched cloth"",""extras"":""rolled bed mat strapped on""},""items"":{""wrist"":""cracked analog watch"",""neck"":""metal chain holding wedding band"",""utility"":""flashlight clipped to pack strap""}},""environment"":{""location"":""nature-reclaimed urban district"",""variation"":""tilted street, broken bus stop shelter, vines wrapping collapsed storefronts"",""details"":[""abandoned vehicles pushed aside"",""plant growth bursting through road fractures"",""ivy crawling up shattered signage"",""wild animal silhouette (deer) deeper in the ruins""],""atmosphere"":""stillness, overgrown melancholy, beautiful dereliction"",""lighting"":""soft cloud-covered daylight with diffuse shadows""},""camera"":{""style"":""cinematic realism"",""lens"":""35mm wide"",""framing"":""full-body, diagonal walk direction"",""perspective"":""wide environmental reveal"",""ratio"":""16:9"",""texture"":""sharp foliage detail, natural muted tones""}}",Image Generation / Post-apocalyptic Cinematic Portrait
"{""Objective"":""Generate an ultra-realistic full-body cinematic fashion portrait of a stylish young man."",""Scene_Description"":{""Environment"":{""Setting"":""Outdoors against a vibrant hot-pink textured wall"",""Lighting"":{""Type"":""Bright cinematic lighting"",""Effects"":[""Sharp color contrast"",""Crisp highlights and shadows"",""Vivid, modern fashion-photography mood""]},""Atmosphere"":""Bold, vibrant, high-fashion street style""},""Subject"":{""Type"":""Stylish young man"",""Appearance"":{""Hair"":""Clean modern haircut"",""Facial_Hair"":""Trimmed beard"",""Accessories"":""Sunglasses""},""Pose"":{""Stance"":""Standing confidently"",""Legs"":""One leg crossed over the other"",""Hands"":""Both hands in pockets"",""Expression"":""Relaxed, confident""}}},""Wardrobe"":{""Outfit"":{""Overshirt"":""Brown casual overshirt"",""TShirt"":""White t-shirt"",""Pants"":""Black cargo pants"",""Shoes"":""White sneakers""}},""Visual_Style"":{""Quality"":""Ultra-realistic, high detail"",""Aesthetic"":""Modern fashion photography"",""Color_Profile"":""Bright, sharp, vivid tones with bold contrast"",""Detail_Characteristics"":[""Highly detailed textures"",""Strong edge clarity"",""Smooth cinematic gradients"",""Photographic realism and depth""]},""Output_Requirements"":{""Format"":""Image"",""Quality"":""Full-body, editorial-grade, cinematic portrait""}}",Image Generation / Full-body Fashion Portrait
"{""scene_type"":""2am tokyo-vibe balcony selfie, sunk into chair, tipsy messy glam, dark moody aesthetic"",""camera_perspective"":{""pov"":""her phone - we ARE the phone"",""phone_visibility"":""not visible at all"",""angle"":""held lazily in front of her, slightly above, she's sunk deep in chair looking up at it""},""lighting"":{""primary"":""neon glow from city - pink, blue, red signs bleeding through"",""secondary"":""single warm Edison bulb hanging above, dim"",""accent"":""maybe LED strip somewhere, purple or red tone"",""shadows"":""deep, dramatic, half her face in shadow"",""on_her"":""neon colors catching her cheekbones, eyes glinting, moody"",""effect"":""dark, cinematic, wong kar-wai vibes, urban night""},""subject"":{""action"":""SUNK deep into chair, body melted into it, slouched, relaxed past the point of posture, phone held up lazily"",""pose"":{""body"":""completely melted into chair, spine curved, shoulders dropped, zero tension"",""slouch"":""deep - like she's been sitting here for hours with wine"",""hips"":""slid forward in seat, ass pressed deep into cushion, pelvis tilted"",""legs"":{""position"":""fallen open lazily, knees apart, feet maybe on railing or floor"",""energy"":""no effort to close them, just... there"",""thighs"":""spread on seat, skirt ridden up to basically hip level""},""arms"":""one holding phone up loosely, other draped over armrest or holding wine glass"",""head"":""tilted back against chair, looking up at phone through heavy lids""},""expression"":{""eyes"":{""state"":""heavy-lidded, slightly glazed, tipsy soft focus"",""makeup"":""dark smoky eye that WAS sharp, now smudged at edges, eyeliner migrated slightly, mascara holding but barely, still looks hot maybe hotter"",""look"":""looking at camera like looking at him, 'I miss you' but drunk version""},""mouth"":{""lips"":""slightly parted, relaxed jaw, maybe dark lipstick that's faded to stain"",""expression"":""not smiling, not sad, just... feeling it""},""overall"":""that tipsy face where you're present but soft, everything relaxed, inhibitions low""},""physical"":{""age"":""early 20s"",""skin"":{""tone"":""pale white, almost glowing against dark setting"",""state"":""slight flush from alcohol on cheeks and chest"",""effect"":""neon lights catching her pale skin, pink and blue tones reflecting""},""body"":{""type"":""thick, soft, curves that don't quit"",""ass"":""sunk deep in seat, spread wide on cushion from slouch"",""thighs"":""full, pale, spread open, pressed on seat"",""waist"":""soft, not flexed, natural sitting belly showing"",""chest"":""relaxed, crop top doing its job""},""hair"":{""style"":""textured messy pixie, longer on top, shaved or short on sides"",""bangs"":""choppy micro bangs or longer side-swept fringe, falling in eyes slightly"",""color"":""dark brunette with maybe subtle dark cherry or purple tint catching neon"",""texture"":""piece-y, product in it, intentionally messy, bedhead but fashion"",""state"":""been running hands through it, tousled, sexy chaotic"",""vibe"":""like she cuts it herself but it works, edgy, cool girl""}},""outfit"":{""top"":{""item"":""red cropped top"",""style"":""tight, ribbed or satin, sits above navel"",""fit"":""hugging everything, slight wrinkle from slouch"",""straps"":""thin, one maybe falling off shoulder"",""color"":""deep red, looks almost black in shadow, catches neon""},""skirt"":{""item"":""ultra mini pleated tennis skirt"",""color"":""white, glowing in the dark"",""state"":""COMPLETELY ridden up from slouching, barely exists at this point"",""coverage"":""basically a belt now, hem at hip level, everything below is bare thigh"",""pleats"":""bunched, pressed flat under her ass""},""underneath"":{""visible"":""maybe glimpse of underwear from how far skirt rode up, or just shadow"",""vibe"":""suggestive not explicit, you can't NOT notice""},""legs"":{""state"":""bare, pale, spread, on full display"",""skin"":""catching neon lights, pink and blue tones on white skin""},""feet"":""maybe platform boots still on, or barefoot, kicked off somewhere""},""props"":{""in_hand"":""wine glass nearly empty, held loosely, might spill"",""nearby"":""wine bottle on floor, cigarettes, lighter, ashtray""}},""environment"":{""balcony"":{""type"":""small japanese-style apartment balcony, narrow, urban"",""style"":""minimal, dark, functional not decorated"",""furniture"":{""chair"":""low floor chair or single dark cushioned seat, she's sunk into it"",""other"":""maybe small side table, nothing else, cramped""}},""aesthetic"":{""vibe"":""tokyo apartment, neon city outside, dark inside"",""colors"":""blacks, greys, neon pink and blue from outside"",""mood"":""blade runner lite, urban isolation but sexy""},""view"":{""outside"":""dense city night, neon signs, apartment buildings with lit windows close together, very urban very tokyo"",""effect"":""neon colors bleeding into balcony, city feels close and alive"",""signs"":""japanese text maybe, or just colorful urban mess""},""details"":{""railing"":""metal, simple"",""floor"":""concrete or metal grate"",""clutter"":""minimal - wine bottle, her bag, shoes kicked off""},""atmosphere"":{""darkness"":""mostly dark, pools of neon and single warm bulb"",""mood"":""isolated but surrounded by city, alone but connected"",""sound_implied"":""distant city hum, muffled music from somewhere""}},""camera"":{""type"":""smartphone selfie"",""framing"":""her sunk in chair fills frame - face at top looking up, red crop, white skirt bunched at hips, spread pale thighs, neon city bokeh behind"",""angle"":""from above her, she's looking up at phone, creates intimacy"",""aspect"":""9:16"",""quality"":""night mode, neon color cast, slightly grainy, moody, cinematic""},""the_details_that_sell_it"":{""makeup"":""smudged smoky eye is key - was done up, now melted, still hot"",""hair"":""that edgy pixie with pieces falling in face"",""slouch"":""completely sunk, zero posture, melted into seat"",""skirt"":""basically not there anymore, thighs and almost everything visible"",""lighting"":""neon on pale skin, dark shadows, cinematic"",""expression"":""tipsy, soft, longing, sending this at 2am""},""vibe"":{""core"":""alone in tokyo at 2am, tipsy, thinking of him, looking like this"",""energy"":""melancholic but sexy, soft but edgy, drunk but present"",""mood"":""lost in translation vibes, urban loneliness but make it hot"",""caption"":""nothing, or '2:47am', or just sends it"",""what_makes_it_hit"":""the contrast - edgy dark setting, messy glam, soft thick body, pale skin glowing in neon, completely sunk and unbothered""}}",Image Generation / Urban Neon Night Portrait
"{""prompt"":""A young woman with long chestnut-brown hair takes a mirror selfie in a modern grey-tiled bathroom. She wears a black fitted long-sleeve top and simple silver jewelry. The bathroom features matte grey tiles, a frameless mirror, a sleek countertop sink, and dim moody lighting that gives a soft cinematic aesthetic. The reflection is sharp, detailed, and photorealistic."",""negative_prompt"":""blur, noise, extra fingers, distorted reflections, watermark, logo, overexposed, too dark, cartoon"",""steps"":50,""sampler"":""DPM++ 2M Karras"",""cfg_scale"":7.5,""seed"":-1,""width"":512,""height"":768,""model"":""realisticVisionV60B1""}",Image Generation / Mirror Selfie Photography
"{""scene"":{""environment"":""sunny_boardwalk"",""details"":""wooden_planks, colorful_stalls, clear_blue_sky, bright_summer_day"",""lighting"":""hard_sunlight_casting_shadows""},""camera"":{""lens"":""ultra_wide_fisheye_12mm"",""angle"":""low_angle_looking_up"",""distortion"":""distinct_barrel_distortion"",""framing"":""full_body_shot""},""subject"":{""type"":""young_woman"",""expression"":""cool_confident_attitude"",""pose"":""standing_relaxed, one_hand_in_pocket, leaning_slightly_towards_lens"",""clothing"":{""top"":""bright_green_knit_sweater"",""bottoms"":""denim_jeans_or_shorts"",""accessory"":""chunky_blue_sunglasses_on_face""}},""composition"":{""focus"":""subject_central"",""background"":""busy_boardwalk_blurred_in_distance"",""style"":""street_photography_aesthetic""}}",Image Generation / Street Fashion Photography
"{""subject"":{""description"":""25-year-old Japanese woman with a curvaceous figure, standing in a meadow before Mount Fuji, gentle breeze lifting her hair"",""pose"":""relaxed stance, one hand holding an iced matcha latte, the other resting on her kimono; graceful posture, soft gaze toward camera"",""expression"":""serene, warm eyes, gentle closed-lip smile"",""hair"":""warm brown, long and straight, wind-tousled"",""clothing"":{""kimono"":{""type"":""traditional furisode"",""color"":""soft ivory with dusty rose accents"",""details"":""delicate floral embroidery, pale pink obi, flowing sleeves catching the breeze""}},""makeup"":""natural, dewy skin, glossy nude lips""},""accessories"":{""hair"":""gold kanzashi hairpin with floral ornament"",""jewelry"":""simple pearl drop earrings"",""prop"":""iced matcha latte in clear cup""},""photography"":{""style"":""cinematic arthouse film still"",""framing"":""long shot, subject small in frame occupying lower third, generous negative space above"",""composition"":""rule of thirds, subject off-center left, Mount Fuji anchoring the right"",""depth_of_field"":""shallow focus, foreground grass blurred, creamy bokeh"",""lens"":""vintage 50mm anamorphic, subtle flare, soft vignette"",""aspect_ratio"":""3:4""},""color_grading"":{""style"":""lo-fi analog film — lifted blacks, desaturated muted tones, warm amber-sepia cast, flat contrast, hazy softness, visible grain, sun-bleached 1970s warmth""},""background"":{""setting"":""open meadow at base of Mount Fuji, golden hour"",""elements"":""tall wild grasses, scattered wildflowers, morning mist on slopes, atmospheric haze creating depth layers"",""lighting"":""soft golden backlight, gentle rim light on hair, blooming highlights, no harsh shadows""},""mood"":""quiet nostalgia, contemplative, poetic, Wong Kar-wai stillness""}",Image Generation / Cinematic Outdoor Portrait
"{""title"":""Hyper-Realistic Portrait: Suited Woman in Mugshot Pose"",""description"":""A high-resolution hyper-realistic 8K HD portrait photograph captured with a professional DSLR camera using a 50mm lens for natural depth of field and razor-sharp focus. Full-body composition mimicking an old-fashioned mugshot/police booking photo."",""subject"":{""type"":""woman"",""features"":{""likeness_reference"":""attached image"",""height"":""tall"",""build"":""elegant"",""facial_features"":{""jawline"":""sharp"",""eyes"":""intense"",""expression"":""confident, slightly smug smirk""},""pose"":""leaning against wall, one knee bent""},""hair"":{""style"":""neat, straight, wavy or elegant updo"",""appearance"":""natural and well-groomed""},""clothing"":{""jacket"":""vintage-style tailored dark pinstripe suit jacket"",""inner_garment"":""none"",""tie"":""slightly loosened, dark shade matching jacket"",""accessories"":[{""type"":""mugshot board"",""text"":{""name"":""MIRA"",""date"":""17/5/62""}},{""type"":""shoe"",""description"":""single shiny dark-colored high-heeled shoe in right hand"",""material"":""patent leather""}]}},""background"":{""style"":""naturally blurred bokeh"",""texture"":""slightly gritty studio wall"",""details"":{""height_chart"":""vertical lines with numerical markings 2'0\"" to 6'6\"""",""color_tone"":""desaturated, slightly sepia-toned archival photograph aesthetic""}},""lighting"":{""type"":""clean, soft, balanced"",""shadow"":""accurate shadows and highlights"",""direction"":""strong overhead or frontal lighting emphasizing dramatic shadows and height chart lines""},""framing"":{""resolution"":""1080x1350px (4:5)"",""focus"":""sharp subject focus"",""composition"":""full figure and mugshot details"",""color_accuracy"":""professional, natural tones""},""style"":""Hyper-realistic photography, 8K clarity, DSLR quality, accurate color grading, natural lens blur, vintage photo aesthetic, true-to-life detail"",""watermark"":""© xmiiru"",""negative_prompt"":[""No anime"",""No cartoon"",""No digital painting"",""No illustration"",""No 3D render"",""No CGI"",""No stylized features"",""No plastic/doll-like skin"",""No fantasy glow"",""No cinematic effects"",""No airbrushed smoothing"",""No overexposure"",""No unnatural blur"",""No video-game/Unreal Engine style"",""No sketch"",""No artificial lighting effects"",""No unrealistic proportions/textures"",""No multiple shoes"",""No modern background elements""]}",Image Generation / Hyper-realistic Mugshot Portrait
"{""prompt"":""Ultra-close-up portrait of a stunning young East Asian woman with flawless porcelain skin, large sparkling dark brown eyes with long lashes, subtle pink blush, glossy red-tinted lips, long straight silky dark brown hair with subtle highlights, making a playful finger-frame gesture around one eye with both hands, extremely detailed long almond-shaped nails with glossy purple-marble and silver chrome galaxy nail art with tiny rhinestones, wearing black-and-white horizontal striped oversized knit sweater with ribbed cuffs, layered delicate silver necklaces with crystal pendants and small pink gems, soft studio lighting with bright white seamless background, high-fashion beauty editorial style, razor-sharp details, perfect skin texture with natural glow, shallow depth of field, shot on 85mm lens f/1.4, ultra-realistic photorealism, 8k, masterpiece, best quality"",""negative_prompt"":""blurry, low resolution, deformed hands, extra fingers, missing fingers, bad anatomy, ugly nails, cheap makeup, overexposed, underexposed, text, watermark, logo, cartoon, 3d render, plastic skin, doll face, cross-eyed, distorted proportions, old, child"",""steps"":60,""cfg_scale"":7.5,""sampler"":""DPM++ 2M Karras"",""width"":832,""height"":1216,""seed"":-1}",Image Generation / Ultra-close-up Beauty Portrait
"{""subject"":{""description"":""A male boxer sitting in the corner of a ring between rounds, heavy breathing"",""mirror_rules"":""N/A"",""age"":""early 30s"",""expression"":""exhausted, bruised but determined, mouthguard visible"",""hair"":{""color"":""dark brown"",""style"":""buzz cut, drenched in sweat""},""clothing"":{""top"":{""type"":""none (shirtless)"",""color"":""skin tone"",""details"":""heavy sweat sheen, muscle definition, veins visible""},""bottom"":{""type"":""boxing trunks"",""color"":""satin white with gold trim"",""details"":""blood smear on waistband""}},""face"":{""preserve_original"":true,""makeup"":""swollen eye, cut on eyebrow, vaseline smeared on cheeks""}},""accessories"":{""headwear"":{""type"":""none"",""details"":""towel draped over head""},""jewelry"":{""earrings"":""none"",""necklace"":""none"",""wrist"":""red boxing gloves"",""rings"":""none""},""device"":{""type"":""none"",""details"":""N/A""},""prop"":{""type"":""water bottle"",""details"":""being squeezed into mouth by a trainer's hand (off-screen)""}},""photography"":{""camera_style"":""Sports documentary style, 85mm portrait lens"",""angle"":""low angle looking up at seated fighter"",""shot_type"":""close up on face and chest"",""aspect_ratio"":""16:9"",""texture"":""sharp pores, gritty noise, dramatic shadows""},""background"":{""setting"":""boxing ring corner"",""wall_color"":""dark arena background"",""elements"":[""ring ropes blurred in foreground"",""haze from crowd heat"",""camera flashes popping in distance"",""trainer's shoulder blurred in foreground""],""atmosphere"":""tense, visceral, dramatic"",""lighting"":""single harsh overhead spotlight, deep shadows on face (chiaroscuro)""}}",Image Generation / Sports Documentary Portrait
