prompts,Metadata / Instruction
"创作一张手绘风格的信息图卡片，比例为9:16竖版。卡片主题鲜明，背景为带有纸质肌理的米色或米白色，整体设计体现质朴、亲切的手绘美感。

卡片上方以红黑相间、对比鲜明的大号毛笔草书字体突出标题，吸引视觉焦点。文字内容均采用中文草书，整体布局分为2至4个清晰的小节，每节以简短、精炼的中文短语表达核心要点。字体保持草书流畅的韵律感，既清晰可读又富有艺术气息。

卡片中点缀简单、有趣的手绘插画或图标，例如人物或象征符号，以增强视觉吸引力，引发读者思考与共鸣。整体布局注意视觉平衡，预留足够的空白空间，确保画面简洁明了，易于阅读和理解。

主题是：“做IP是长期复利，坚持每日出摊，持续做，肯定会有结果，因为99%都坚持不住的。”",Image Generation / Hand-drawn Illustration Card
"Amateur photograph from 1998 of a middle-aged artist copying an image by hand from a computer screen to an oil painting on stretched canvas, but the image is itself the photo of the artist painting the recursive image.",Image Generation / Recursive Photography
レイ・カーツワイル氏の「6つのエポック」説について日本語で解説する画像を作ってください,Image Generation / Educational Illustration
"このキャラクターを使ったyoutubeサムネイルの作成をお願いします。
・上半身のみ使用、ポーズと表情を楽しげに
・大きく「雑談」という文字とふりがなで「ざつだん」と入れる
・ポップな印象だけど、背景はシンプルとボーダーで構成",Video Generation / YouTube Sample Creation
高度経済成長期の日本の下町商店街,Image Generation / Urban Economic Scene
"この画像の人物を使って8つのLINEスタンプを作りたいです。（添付画像を載せる）
日常的に使える挨拶や言葉が欲しい
その言葉に合わせて表情やポーズも変えて",Image Generation / Social Media Sticker Set
日本人NFLファンのペイトリオッツ応援風景画像,Image Generation / Themed Fan Portrait
江戸時代の城下町,Image Generation / Historical Townscape
"Generate a 9-image ‘photo dump’ grid of this person’s weekend: a mirror selfie, a café shot, friends at dinner, a blurry party photo, a walking shot, a laptop/coffee work shot, a pet moment, a sunset, and a candid laugh.",Image Generation / Personal Photo Collage
Make a highly detailed original Construction plan of Laxmi Vilas Palace based on the image I provide you.,Image Generation / Architectural Blueprint
"style chest panels with warm glow
Chunky chrome toggles and rotary dials on the cockpit hatch
Retro starship-style backpack thrusters, with magenta and teal plasma vents
Arm-mounted “Funk Cannons” (Captain HaHaa signature)
Legs with mirrored chrome panels reflecting cosmic colours
Foot stabilizers shaped like mini hover-skids
10 labels describing each unique feature:

HaHaa-Crest Antenna (boomerang-shape)
CRT Chest Display Plates
Core-Funk Block Unit
Shoulder Groove Armor
Beam Saber Rack (retro-orange sheath)
Cosmic Funk Cannons
Star-Thruster Backpack
Hip Skirt – “CAN YOU DIG IT?” Plate
Knee Glide Assembly
Hover-Skid Foot Stabilizers
Style: blueprint line work on navy, cyan glow outlines, technical call outs.
Camera: orthographic front view, side inset.",Image Generation / Sci-fi Technical Illustration
妖精が天から地球に降りてきた。最初に出会ったのが三毛猫だったから、この星は猫の星かと思って猫に話しかける４コマ漫画を描いて,Image Generation / Fantasy Comic Illustration
"Generate four distinct, hyper-realistic images, each depicting a world-renowned landmark. For each image, include a comprehensive and clearly legible set of annotations directly overlaid onto key architectural features, historical elements, or culturally significant details. These annotations should provide brief, informative descriptions.

The first image should feature the Eiffel Tower in Paris, France, at sunset, with annotations highlighting its iron lattice structure, observation decks, and historical significance.

The second image should showcase the Great Wall of China, specifically a section in Mutianyu, during a clear autumn day, with annotations detailing its watchtowers, construction materials, and strategic importance.

The third image should present the Colosseum in Rome, Italy, bathed in morning light, with annotations identifying its arches, seating tiers, and its role as an ancient amphitheater.

The fourth image should capture the Taj Mahal in Agra, India, under a soft, ethereal pre-dawn glow, with annotations pointing out its marble dome, minarets, and inlaid floral designs.

Each image should be rendered with exceptional detail, vibrant colors, and dynamic lighting to emphasize the grandeur of the location, making the annotations seamlessly integrated into the visual narrative.",Image Generation / Annotated Landmark Images
"A 16-bit pixel art poster showcasing all the black and white animals of nature. The composition uses a neat grid layout, reminiscent of a retro video game character selection screen or an encyclopedia page. Each animal is labeled with its English name in clear retro pixel font. The background is clean white or light gray, with vivid pixel details, exuding a retro aesthetic and high-quality production. --ar 16:9",Image Generation / Pixel Art Animal Poster
"Erzeuge eine Karte von Deutschland im Wasserfarben-Stil, auf der alle Bundesländer mit Kugelschreiber benannt sind.",Image Generation / Watercolor Map
カワイイ猫耳少女のイラストを生成して。ちびきゃら風で、フリフリのお洋服を着せて、ロングヘアーのピンク色の髪にして。,Image Generation / Anime Style Character
"構図：3つのフレームに分割された「高精細ストーリーアート」。

背景はフルカラーの背景美術品質。  
キャラクターは高密度のディテール描写。吹き出しでキャラクターのセリフを表現する。  
全体は画集のような高級感のある“アートレイアウト”で構成されている。
参考画像の画風を忠実に再現し、繊細な線画・高精細に仕上げてください。",Image Generation / High Detail Storyboard Art
なのばななプロがでたというような目を引くサムネを作成して,Video Generation / Sample Creation
"A young man leaning against a brick wall at night, illuminated only by a weak neon sign above him. His profile is sharp, half-lit in cool blue, half lost in darkness. He wears a black denim shirt and silver chain. The ground reflects the neon glow like wet pavement.",Image Generation / Neon Night Portrait
"Use my image in Hyper-ultra realistic 8K cinematic portrait, face unchanged from the reference. A stylish man leans casually against a dark industrial metal door frame with one hand resting on top. He wears premium sunglasses, a black t-shirt, a dark bomber or utility jacket, and dark cargo pants. The scene is dimly lit, with geometric metallic",Image Generation / Hyper-realistic Cinematic Portrait
"create a portrait of a beautiful young woman with porcelain-white skin,captured with a 1990s-style camera using a direct front flash.Her messy dark brown hair is tied up, posing with a calm yet playful smile.She wears a modern oversized cream sweater. The background is a dark white wall covered with aesthetic magazine posters and stickers, evoking a cozy bedroom or personal room atmosphere under dim lighting.The 35mm lens flash creates a nostalgic glow.",Image Generation / Nostalgic Portrait Photography
"この画像を超精密なフィギュア風にして
製品紹介ページデザインを作ってください。
商品名は「失恋ガールズ」です。
1/7フィギュアです。
メーカー名は「TENNEN」です。
ロゴは角丸青色正方形にTENNENの文字
「TEN」で改行、文頭揃えて「NEN」
角丸青色正方形内に最大配置。
部分拡大図等を配置して製品紹介らしく
見栄え良くプロっぽくデザインしてください。
「失恋ガールズ」もロゴっぽくしてください。
製品紹介ページらしくしてください。
2025年冬発売予定
原型製作：てんねん",Image Generation / Product Presentation Design
"A photorealistic, highly detailed, cinematic portrait of an **ethereal young woman** (around 25 years old) with a **regal expression and intensely focused eyes**. She has long, luxurious, jet-black hair that flows slightly over her shoulders. She is dressed in an opulent, heavy **traditional black gown** layered with intricate, **raised gold filigree and embroidery** across the bodice and sleeves.

**Composition:** She is positioned centrally, her hand gently resting on the braided bridle of a magnificent, muscular **purebred black Arabian horse**. The horse's coat is gleaming, contrasting sharply with the environment.

**Setting and Atmosphere:** The scene is set in a vast, empty **sand desert or arid plain** during the **'Golden Hour' sunset**. The sky is a blend of deep burnt orange, soft rose, and fading indigo.

**Lighting and Photography:** **Dramatic, low-key cinematic lighting** with a strong rim light defining the horse and the woman's profile. **Soft volumetric light** (dust motes visible in the air). Shot on a **wide-angle lens** (e.g., 24mm) with a **shallow depth of field** ($f/1.8$), focusing sharply on her eyes. **Ultra quality, 16k, Octane Render, ZBrush, hyper-realistic texture detail.**",Image Generation / Cinematic Fantasy Portrait
"A portrait in the editorial style of the outdoor fashion magazine, inspired by the aesthetics and lifestyle of petro. The uploaded image shows a young girl standing next to a red truck, leaning against the window, with a red scarf on her head, wearing a white fluffy fur coat and a minimalist white top. Her loose, wavy hair creates a sense of naturalness and movement. Her confident and￼ dreamy expression is complemented by the golden sunset illuminating the landscape. The background",Image Generation / Fashion Editorial Portrait
"Fuse the image, correct the product’s perspective and lighting, and make the product blend into the background.",Image Editing / Product Integration
Generate an image of a classroom blackboard with the Pythagoras theorem being solved step by step.,Image Generation / Educational Diagram
Backstage photo of the 《 Legend of Zelda: Breath of the Wild 》 movie.,Image Generation / Backstage Movie Photo
"Create a studio-art-style photograph of a young woman from attached image as the prototype—100% AI-generated—producing five generations arranged diagonally from top to bottom: the eldest (senior) at the top down to the youngest (little sister) at the bottom. Each person’s face turns inward toward the others, captured in an astonishing low-light setting. The background is colorful abstract, with exquisitely fine textures and soft, gentle color tones. Show a seamless
progression of aging: an elderly woman, an older woman, a middle-aged woman, a young woman, and a cheerful little girl. The photography style should be realistic, elegant, and luxurious, featuring sharp focus, deep shadows, and high resolution.
Signature: Shreya Yadav",Image Generation / Multi-Generation Artistic Portrait
"""A highly detailed portrait of a beautiful woman in a dramatic, flowing teal and turquoise gown and veil, standing outdoors. Her long, reddish-brown hair is swept back by the wind. She is looking upwards with her eyes closed, with a peaceful, intense expression. The dress fabric is ethereal and sheer, billowing around her. She has a delicate blue floral accessory in her hair near the veil. The background is a bright sky with scattered clouds, giving a golden hour or late afternoon light effect, set over a subtle, blurred landscape.""",Image Generation / Dramatic Outdoor Portrait
"“A young woman with a contemplative expression, seated casually at an old metal bus stop at night. She wears a faded denim jacket over a dark turtleneck and loose cream trousers. A single dull yellow tube light overhead casts harsh, uneven illumination. The rest of the scene fades into darkness with subtle retro grain. Medium portrait framing, calm but cold mood.”",Image Generation / Moody Night Portrait
"A male model, dressed in a brown bomber jacket, dark trousers, is perched on the edge of a fire escape platform. One leg dangles freely while the other is bent. Should he set on stairs He looks contemplatively into the distance. Monogrammed duffel bag rests nearby. Urban street background, soft ambient lighting Keep the face 100% exact same as I uploaded no alteration, no blurry.",Image Generation / Urban Male Fashion Portrait
"Without changing my facial featues,
create a stylish, modern portrait of a young man with voluminous dark hair, wearing a loose-fitting rust color shirt Top button down. singl accessorized with a watch and a small earring. The background is soft, minimal, and subtly blurred to emphasize a contemporary fashion-forward vifac Transparent sunglasses. Cinematic lighting, ultra-detailed, realistic textures, and a polished editorial aesthetic same face.",Image Generation / Modern Male Portrait
create a photo of python code to calculate the fibonacci numbers drawn on a glass whiteboard with coloring markers,Image Generation / Code on Whiteboard Photo
"Prompt on Nano Banana Pro : White ceramic coffee cup rests on a smooth gray surface, its interior transformed into a miniature version of Paris. Instead of liquid, the cup contains tiny detailed streets, Haussmann-style buildings with gray rooftops, tree-lined boulevards, and small cafés with awnings. At the center rises a perfectly scaled Eiffel Tower, made of intricate metallic latticework, towering over a circular plaza and grassy park with tiny walking figures. Bridges span across a tiny river resembling the Seine that curves through the cup, with miniature boats floating beneath. The perspective is top-down, with gentle depth-of-field blur at the cup’s edges, focusing sharply on the Eiffel Tower as the focal point. Soft daylight casts realistic shadows, and the city textures—cobblestone streets, glass windows, and greenery—appear ultra-detailed, giving the illusion of a living Paris contained within a cup.",Image Generation / Miniature City in Cup
"Keep 100% of the facial features from the uploaded image — do not alter the face, proportions, or expression in any way.

A cinematic ultra-realistic portrait of a young woman standing in a cotton flower field during golden hour, bathed in warm afternoon sunlight.
She stands surrounded by tall cotton plants — the plants reach up to shoulder height, forming a soft, natural enclosure around her.

The cotton flowers are plump, fluffy white clusters sitting atop slender reddish-brown stems, densely packed throughout the frame.
The field is filled with these flowers in every direction, stretching toward the horizon — the subject appears “immersed” in the field, with blooms in both the foreground and background, creating depth and intimacy.

She has medium-length wavy light brown hair, softly tousled by the wind, and a calm, introspective gaze directed slightly over her shoulder at the camera.
Her skin glows naturally under the warm sunlight, with realistic soft shadows emphasizing he",Image Generation / Ultra-Realistic Outdoor Portrait
"""Objective"": ""Generate a cinematic 3-frame collage using the facial features of the attached photo as reference, portraying a woman in a lush green meadow with a contemplative, natural, and emotional tone."",

 ""Visual_Concept"": {
 ""Theme"": ""Connection between human emotion and nature"",
 ""Tone"": ""Cinematic realism blending raw authenticity with poetic serenity"",
 ""Lighting"": ""Soft, diffused natural daylight under overcast conditions"",
 ""Color_Style"": {
Signature: Shreya Yadav",Image Generation / Cinematic Collage Portrait
"Cinematic full-body portrait of a rugged man holding a shotgun, standing beside an old, rusted helicopter in front of a weathered wooden building on an abandoned farm. The ground is dry and cracked, tall brown grass sways in the wind, and the sky is overcast with dramatic gray clouds. The man’s clothes are dusty — a worn leather jacket, jeans, and boots. Faded paint and rust streaks cover the helicopter’s body. The atmosphere feels tense and post-apocalyptic, with cinematic lighting and soft depth of field.",Image Generation / Post-Apocalyptic Character Portrait
"A 29-year-old man sitting on a majestic white horse, possibly a Gypsy Vanner or Friesian, with a very long, flowing white mane and tail, rearing up on its hind legs in a grassy field. It has a bridle with dark leather straps and brass hardware. The horse's powerful build and feathered hooves are prominent. The man is wearing the outfit as in the uploaded photo. In the background behind the horse stands a black Fortuner. The background features blurred green foliage and hints of trees under a slightly overcast or bright sky, giving a natural, slightly ethereal tone.",Image Generation / Man on Horse in Field
"“A meticulously crafted, hyper-realistic vintage-style pencil illustration of a young gentleman (attached photo) shown in full body, seated in a relaxed yet refined pose on an elegant classic wooden chair. He wears timeless gentleman attire: a tailored vintage suit, polished shoes, and subtle early-20th-century accessories. Ultra-fine graphite shading captures intricate fabric textures and the poised, confident demeanor of a classic gentleman.The artwork is drawn on aged,slightly yellowed textured art paper with visible grain. Surrounding the full-body portrait is an extraordinarily intricate Arabesque geometric framework: densely interwoven multi-layered star polygons, complex tessellations, recursive symmetrical patterns, overlapping rosettes, fractal-like lattice structures, repeating girih motifs, and deeply detailed angular ornamentation inspired by advanced classical Islamic geometry. The patterns form a visually rich, mathematically precise halo around the portrait. A luxurious black-and-gold vintage fountain pen rests diagonally across the paper, casting a soft, realistic shadow. The sheet lies on a warm, patina-rich wooden table. Nostalgic high-contrast lighting enhances depth, texture, and the authentic vintage atmosphere. Photorealistic, 8K ultra-detailed, premium fine-art vintage gentleman aesthetic.”use  My picture as a reference.",Image Generation / Vintage Pencil Illustration Portrait
"Golden hour portrait with tree shadows cast on wall. Subject in white blouse, warm highlights, soft tones. 85mm lens, f/2.2, ISO 200, 1/500s. Film look: Kodak Gold 200, nostalgic sunlight hue.",Image Generation / Golden Hour Portrait Photo
"A high-quality portrait photograph shows a beautiful woman with long, wavy brown hair and sultry makeup, including dark eyeshadow and a nude lip, looking directly into the camera. She is seated in a dimly lit, old-fashioned room, wearing a deep burgundy satin wrap dress, with her arm resting on an antique wooden desk. The warm glow of a nearby table lamp and several flickering candles illuminates the scene, casting soft light and deep shadows across her face, hair, and the rich textures of her clothing and the wood. The background is softly blurred but suggests heavy velvet curtains and aged wallpaper, enhancing the intimate and moody atmosphere.",Image Generation / Moody Intimate Portrait
,
"Ultra-realistic 8K photo of a young man with exact facial likeness from the reference image, stylish  brown style blak voluminous hair, light skin. He wars  oversized White jacket tshirt & baggy pant,watch, he stand  learning matarial geit lusse tree focuse,head down depth-Dslr photo shot,iPhone photo tone edit,no change face and hairstyle",Image Generation / Ultra-Realistic Male Fashion Photo
"A highly realistic portrait of a man based on the original model (facial structure, hairstyle and body must be 100% identical to the reference image - no alterations allowed) with emphasis on fine, subtle skin details. Creates an ultra-realistic 8K photo. The photo should be in a professional, cinematic style with a gray-ish tone.

Story: A young man has a two-block haircut, parted slightly down the middle (70:30 ratio). He wears an oversized, washed black denim jacket over a plain white crew-neck t-shirt, paired with faded blue cargo jeans. His accessories consist of simple silver rings on his middle and ring fingers, and a chain necklace with a cross pendant. He is holding a black glass in one hand.

He sat on a wooden bench outdoors in front of a coffee shop with a blurred sign that said ""BLACK COFFEE.""

He poses casually, but still in a high-fashion way, and he looks directly into the camera with a calm and neutral expression.

Natural cosmetics, natural lip color, use soft, natural evening light, avoid

intense shadow

Area 1

Camera settings: f/1.8, ISO 200, 85mm lens,",Image Generation / Realistic Outdoor Male Portrait
"A cinematic, low-light photograph of a young man with dark, messy curly hair leaning casually against the railing of an outdoor industrial metal staircase at night. He is wearing a slate-grey bomber jacket open over a plain white t-shirt and dark black trousers. A harsh, bright rectangular security floodlight mounted on a pole is positioned directly behind him, creating a dramatic backlight that outlines his silhouette and casts a cool blue halo on his hair. The background is a pitch-black void, emphasizing the isolation. The lighting is high-contrast chiaroscuro, with the subject's face partially shadowed but visible. Moody, urban atmosphere, photorealistic, 8k resolution.",Image Generation / Cinematic Urban Night Portrait
"""Create a minimalist editorial studio photoshoot of a man sitting casually on the floor in a relaxed pose. The shot should be taken from a dramatic low-angle perspective, making the oversized sneaker in the foreground appear dominant and powerful. The man is wearing a light grey overshirt layered over a neutral t-shirt, paired with loose brown trousers and chunky white sneakers. One knee is bent upward while the other leg stretches forward, with the sneaker sole facing the camera in sharp detail and texture. His hands should rest casually on his knees, wearing a wristwatch, with a calm and subtle smile expression. The background should feature a clean, seamless white studio backdrop with soft, even lighting and no harsh shadows, achieving a high-fashion minimalist aesthetic. The shot should have DSLR sharpness with an ultra-wide lens perspective, capturing a Pinterest editorial style with a modern streetwear look. Make sure to match the exact face expression and details of the subject in the photo provided.""",Image Generation / Minimalist Editorial Studio Photo
"A highly detailed portrait of a beautiful woman in a dramatic, flowing teal and turquoise gown and veil, standing outdoors. Her long, reddish-brown hair is swept back by the wind. She is looking upwards with her eyes closed, with a peaceful, intense expression. The dress fabric is ethereal and sheer, billowing around her. She has a delicate blue floral accessory in her hair near the veil. The background is a bright sky with scattered clouds, giving a golden hour or late afternoon light effect, set over a subtle, blurred landscape.",Image Generation / Dramatic Flowing Gown Portrait
"Black and white portrait of an elderly bearded man, full face, deep set eyes, fine wrinkles, strong natural light from a side, high resolution, very realistic photo-style",Image Generation / Black and White Elderly Portrait
"Still from a Shopping channel VHS tape from 1986, where someone is selling the most useless trinket ever invented",Video Generation / Vintage Shopping Channel Clip
"Create a visual in the style of a comic strip based on the secret message""",Image Generation / Comic Strip Illustration
"A 16:9 close up photo of a banana, with a long secret messages handwritten written on its peel",Image Generation / Close-Up Photo with Handwritten Message
"scene_type = ""indoor_winter_morning""
location = ""his_room""
time = ""cold winter morning""
subject = ""same man as reference""
pose = ""sitting on bed, holding a warm cup of tea""
outfit = ""cozy winter outfit, soft textures, warm layers""
lighting = ""minimal, soft natural morning light through window, full focus on him""
background = ""slightly blurred room elements, calm winter ambiance""
vibe = ""warm, intimate, peaceful morning moment""
camera = ""close-up to medium shot, shallow depth of field""
quality = ""ultra-detailed, high-resolution, cinematic finish""",Image Generation / Indoor Winter Morning Portrait
style of white handwritten text. Describe what needs to be done; write a title: How to make this image in Photoshop; then in different font add tools you can use to achieve each step,Infographic Generation / Photoshop Tutorial Text
"​An extreme close-up, high-resolution selfie of a young  man [reference face on the photo] wearing a dark hoodie, posing closely with a solid gray cat. The man has a gentle expression, and the cat has striking vibrant green eyes and an alert look. Bright, natural outdoor lighting with a clear blue sky in the blurred background. Sharp focus on both the human and the cat's eyes. Cute and intimate portrait.",Image Generation / Close-Up Human and Cat Portrait
"A hyperrealistic cinematic wide street shot. The subject stands right beside a colorful anime mural wall on the sidewalk, not on the road, recreated with exact, sharp facial details from the uploaded photo — facing directly toward the camera. The subject is wearing a chic pastel blazer over a white silk blouse, high-waisted tailored trousers, and sleek white leather sneakers. She is positioned full-body and captured at a medium distance, so the mural wall is clearly visible behind her. A dramatic diagonal shaft of sunlight illuminates part of the mural and the subject, surrounded by deep contrasting shadows. The mural stays vibrant and detailed, but all text is removed. The atmosphere is cinematic, with a strong interplay of light and shadow, emphasizing realism and depth. Camera: Wide shot, 35mm lens, medium distance, full-body framing, vivid mural color balance, cinematic diagonal sunlight.",Image Generation / Cinematic Street Fashion Photo
[List of well-known figures] walk across a pedestrian crossing like in the Beatles' Abbey Road photo.,Image Generation / Celebrity Group Walking Scene
"Create a realistic HDR movie shot using the uploaded image as a reference. A sunny mountain meadow with lush green hills and towering alpine peaks in the background. A gentle breeze blows through the meadows; the air is fresh and radiant under a blue sky. The bright sunlight casts warm reflections on her skin and hair. She sits comfortably amid flowers and sunlight — looking youthful, calm, and full of freedom. A navy tulle minidress with a tiered skirt creates soft, cloud-like volume. A white sleeveless top with a cherry red polka dot bow scarf around her neck. White ankle socks and cream sneakers. A vintage camera is slung over her body and a paper bag filled with red tulips. Long, loose curls fall naturally; sunlight hits warm, brown highlights. The makeup is fresh and natural: pink blush, lip gloss, glowing skin with soft highlights. A tulip is lifted to smell; a gentle breeze blows through her hair. HDR sunlight, pastel blues and vibrant greens; the subject has a dreamy, cinematic glow.",Image Generation / Outdoor Cinematic Meadow Photo
"Every known meme character in the style of ""Where's Wally""",Image Generation / Meme Characters in Wheres Wally Style
"Create a high-quality, editorial-style photoshoot of the same man as in the reference, at a luxurious swimming pool during daytime. The scene has bright sunshine and perfectly clear weather. He is alone, posing classically and confidently for the camera as if for a fashion magazine cover. The lighting is minimal yet sophisticated, highlighting his face and outfit with soft, natural contrast. He is wearing a fashionable, well-tailored outfit suited for a summer poolside editorial, stylish, modern, and elegant. The pool water glimmers under the sunlight, with reflections adding depth and vibrance. The background is clean, with no people around, emphasizing the premium, cinematic aesthetic and polished magazine look.",Image Generation / Editorial Poolside Photoshoot
"subject in image made of shining marble. The sculpture should display smooth and reflective marble surface, emphasizing its luster and artistic craftsmanship. The design is elegant, highlighting the beauty and depth of marble. The lighting in the image should enhance the sculpture's contours and textures, creating a visually stunning and mesmerizing effect",Image Generation / Marble Sculpture Portrait
"Show me a very detailed situation of the Battle of Stalingrad at the end of December 1943, with annotations indicating the positions of army corps, divisions, main strategies, using colors to clearly explain everything for an experienced scholar",Diagram Generation / Battle of Stalingrad Military Map
"Make me a detailed diagram showing how mitosis works,, with annotations and visual explanations, organized at a primary school level.",Diagram Generation / Mitosis Educational Diagram
"""Hyper-realistic 8K DSLR photoshoot of the person from the reference image riding a giant realistic honeybee. Keep the subject exactly the same as the reference photo: same face, pose, expression, clothing, hair and skin tone. The subject sits naturally on the bee’s thorax with correct contact shadows and cloth deformation. The bee is fully realistic with golden fuzzy thorax, amber-black stripes, detailed wings with slight motion blur,reflective compound eyes and tiny pollen particles. Warm golden-hour lighting, cinematic rim light, shallow depth of field, HDR, high contrast, real-life photoreal texture."", wearing Gucci casual outfit,
Holding bee .
 ""negative_prompt"": ""no face changes, no body changes, no cartoon style, no distortion, no unrealistic anatomy, no text, no watermark""",Image Generation / Surrealistic Honeybee Ride Portrait
nano banana - generate a laptop with stickers. the laptop belongs to a fan of open source ML models,Image Generation / Laptop with Stickers Design
Create an infographic that shows how to make Matcha.,Infographic Generation / How to Make Matcha
"Generate better visuals with more accurate, legible text directly in the image in multiple languages",Image Generation / Multilingual Visuals with Text
create a laptop cover with stickers that belong to someone who works at hugging face,Image Generation / Laptop Cover with Stickers
"create a novel xkcd style comic, with a clever new insight",Comic Generation / Webcomic Concept
"Cinematic photograph of a stylish young blonde woman in a bikini, with a black phanter near her, in a pastel windbreaker in a small bikini, sipping a tropical soda inside a retro diner, super cute, vintage 1980s Miami vibes, pastel neon colors, tropical accents, cool atmosphere, soft film grain, looks like a film still from an 80s movie",Image Generation / Cinematic Photography
"nano banana, how do you tie a tie?",Text Generation / Query or Instruction
"Look up the weather in San Francisco, CA and create an image of a 5-day forecast",Image Generation / Weather Forecast Visualization
Look up the 5 best vacuum cleaners under $300 and create an infographic with pros and cons for each,Infographic Generation / Product Comparison
Find the latest NASA data on Mars rover discoveries this month and create an educational poster for middle schoolers,Educational Poster / Space Exploration
Describe in an illustration the events for a cytotoxic T cell recognizing & killing a cancer cell.,Illustration / Cellular Biology
Draw an illustration of GARP biology for Tregs,Illustration / Immunology
In an illustration describe all of the stages of CAR-T cell therapy from lab to patients.,Illustration / Medical Therapy Process
Make a realistic infographic of the human skeletal system with labels,Infographic / Anatomy
"style panels arranged in a dynamic layout, resembling a professionally printed Japanese manga. The style should be black-and-white with bold ink lines, screen tones, and expressive character art. Include speech bubbles, Japanese sound effects (e.g., ドン!, ゴゴゴゴ), and panel transitions that convey action, emotion, and pacing. The left and right pages should flow together as part of a single scene or chapter. Use traditional manga framing: close-ups, wide shots, diagonal panels, and dramatic angles. The overall look should feel authentic, like a spread from a real manga magazine.",Image Generation / Manga Layout
"9/16 vertical format fisheye selfie of an ultra-realistic woman from a photo with [Doraemon, Naruto, Nobita, Satoru Gojo, Sung Jin, who is Ash from Pokémon]. We’re all smiling with silly, exaggerated expressions. Set in a small, bright living room with white tones. High camera angle. Extreme fisheye distortion. Realistic, cinematic lighting of anime characters is integrated with stylized realism.",Image Generation / Fisheye Group Portrait
"A cutaway illustration of a cruise ship. We see the engine room, the ballroom, the pool deck, the cabins. Tiny people doing different things in each room. 'Where's Waldo' level of detail. Vector art style. ",Illustration / Detailed Cutaway Diagram
"A scene from Richard Scarry's ""Gradient Canopy Campus at Google DeepMind"" ",Illustration / Children's Book Scene
Generate leaked photo BTS from KPOP Demon Hunters live action movie set,Image Generation / Fictional Movie Set Photo
Generate the holiday photo of this person through the ages up to 80 years old,Image Generation / Aging Photo Sequence
"A photo of a programme for The Matrix broadway show, it's professional and well made, glossy, we can see the cover and a page showing a photo of the stage ",Image Generation / Theatre Program Photo
"> An anime man with a yellow hoodie sitting on the london underground, it is a photo, the anime character is in the real world (mixed live action and animation).

He is on the Victoria line. There are ads about AI companions. He has big wired headphones on. It is rush hour and the tube is packed.",Image Generation / Mixed Media Real-Anime Scene
"a photo of the pyramids and sphinx, but how they looked when they were originally built, the sphinx's face is perfect ",Image Generation / Historical Reconstruction Photo
"create a 4 panel manga titled ""I was reincarnated into another world as an ai researcher""",Comic Generation / Manga Story
"Create an image of an analog clock reading 15:32 [Not digital and no other time], a burger with grilled golden provolone cheese, and a glass of red wine filled to the brim.",Image Generation / Still Life Arrangement
"Create a close-up, eye-level selfie portrait of a young woman with a fair flawless complexion, captivating light brown eyes, and long, cascading wavy brown hair with subtle highlights. Her hair is parted down the side, framing her face and flowing over her shoulders. Her eyebrows are well-defined and natural, and her eyes feature delicate eyeliner and long,
feathery lashes. She has a natural, soft pink blush on her cheeks and a glossy pink lip color. She is wearing a loose brown cropped midriff t-shirt that says ""Coffee is my survival juice"" in a retro medium sized font. She wears a delicate silver chain necklace with a small circular pendant. She is holding up a cup of iced latte with straw. The background is softly blurred, showing hints of a modern balcony with reflective surfaces and warm lighting. The overall lighting is soft and even,

highlighting her features with a gentle glow, suggesting natural daylight or studio lighting. The image quality is sharp and high-resolution, capturing fine details as the light hits her face in a golden hour.",Image Generation / Realistic Portrait
"Create a flat, minimalist infographic illustration on a [pale cream/off-white] background. The layout should feature a scattered arrangement of [20] distinct circles. Each circle must have a thin, clean [coral-red] outline. Inside each circle, display the logo or name of a major beverage company including: [Coca-Cola, PepsiCo, Nestle, Starbucks, Red Bull, Heineken, Diageo, Dr Pepper, Monster, Budweiser, Suntory, Danone, Tropicana, Gatorade, Lipton, Fanta, Sprite, Evian, Twinings, Guinness].

Interspersed between the company circles, place minimalist black line-art icons representing the industry, such as [soda cans, glass bottles, coffee cups, droplets, and leaves]. Add small decorative graphic elements like tiny black plus signs (+), small filled dots, and thin black arrows pointing upwards to indicate growth.

In the top left corner, place a bold title graphic text reading ""[Top 20 Beverage Companies]"". In the top right corner, clearly display a modern logo with the text ""[SaaS Junction]"".

The overall style should be corporate but playful, 2D vector art, high contrast, with no shading or 3D effects. Maintain a color palette of [Cream, Coral-Red, Black, and varied logo colors].",Infographic / Corporate Branding
"A large brown bear dressed in intricate traditional Russian folk clothing, sitting at a rustic wooden table outdoors. The bear dips its paw slowly into an old wooden honey barrel, lifting it up with thick golden honey dripping in glistening streams. The scene is captured in close-up cinematic style, highlighting the rich texture of the honey shining in warm, golden sunlight. The bear joyfully licks its paw, with soft focus on the natural background to enhance the warm, inviting atmosphere, rendered in ultra-realistic detail, commercial quality, 4K resolution.",Image Generation / Realistic Animal Portrait
"Create a fashion product collage on a brown corkboard based on this outfit. Each product and the central model image should be presented as individual photos with distinct white borders, pinned organically and aesthetically to the board with small descriptive labels.""",Image Generation / Fashion Collage
Make an infographic of this person’s life based on this article: [Wikipedia Page],Infographic Generation / Biographical Timeline
